bootstrap,model,n_rows,mae,rmse,r2
51,count_plus_all_pairs,239,0.23202996655079536,0.2780532918617631,0.9102270025711174
52,additive_head,239,0.3943639679798375,0.47103922369115236,0.7645528072059747
52,count_additive,239,0.40009843975541304,0.4781397968492313,0.7574009158489425
52,count_plus_PB_count,239,0.3911744344296437,0.4565930183375294,0.7787731148103376
52,count_plus_PE_count,239,0.2720979542653274,0.32712464452150625,0.8864450948020008
52,count_plus_BE_count,239,0.39990760491435584,0.4756298447747667,0.7599412350769529
52,count_plus_all_pairs,239,0.2469682129987943,0.2958715194534555,0.9071064209879731
53,additive_head,239,0.378944900059004,0.45421999417370346,0.7428834838805971
53,count_additive,239,0.3857823937899967,0.46078145361739775,0.7354014493166247
53,count_plus_PB_count,239,0.3782177388581194,0.4410978099142652,0.7575248241097169
53,count_plus_PE_count,239,0.25784647252233694,0.31004512626726816,0.8802026261208311
53,count_plus_BE_count,239,0.38668291785435566,0.45947276823432565,0.7369023105854268
53,count_plus_all_pairs,239,0.23573986249078985,0.28191741721506075,0.9009530068119305
54,additive_head,239,0.381122882769878,0.45522839794362063,0.7443364673961563
54,count_additive,239,0.38652082536357446,0.4615786359456141,0.7371539277463159
54,count_plus_PB_count,239,0.37991999817004435,0.4426882321483165,0.7582279751726786
54,count_plus_PE_count,239,0.2579179463246149,0.31055447603829,0.8810167906161787
54,count_plus_BE_count,239,0.3871124339554148,0.45959691536544406,0.7394060653155912
54,count_plus_all_pairs,239,0.2365757724557444,0.2827967523429304,0.9013359523459253
55,additive_head,239,0.3750269262328295,0.45077628660792124,0.7566258422960674
55,count_additive,239,0.3810485233832811,0.4567652778873086,0.7501159688870729
55,count_plus_PB_count,239,0.3735456011530722,0.437023506516864,0.7712495627438573
55,count_plus_PE_count,239,0.2553561117545157,0.3073482421794926,0.8868606171493019
55,count_plus_BE_count,239,0.3813046939082251,0.4548458648814227,0.7522116750786233
55,count_plus_all_pairs,239,0.23256300065282834,0.27853269785057394,0.907080960964175
56,additive_head,239,0.37979594247066994,0.4547458539094731,0.7546258972512445
56,count_additive,239,0.386001348204374,0.4613315529459773,0.747467343663595
56,count_plus_PB_count,239,0.3789028343903855,0.44231947053890186,0.7678528574262409
56,count_plus_PE_count,239,0.2589957058502337,0.3117042120019783,0.8847140002705548
56,count_plus_BE_count,239,0.386144332909968,0.45904684549738195,0.7499624453110926
56,count_plus_all_pairs,239,0.23687414210848734,0.28350600671758014,0.9046291270224334
57,additive_head,239,0.3916883937902004,0.46910082820722276,0.7548388048941623
57,count_additive,239,0.397684358829276,0.47586543019814653,0.747717199907594
57,count_plus_PB_count,239,0.38901081525061604,0.45422883779998235,0.770137176867437
57,count_plus_PE_count,239,0.26688824177319825,0.3210135078741347,0.8851936406494741
57,count_plus_BE_count,239,0.39766008238636114,0.4740596470236938,0.7496282597441967
57,count_plus_all_pairs,239,0.24195485778876202,0.2898527379967391,0.9064003672670905
58,additive_head,239,0.38382870594349083,0.4600334264594792,0.7643282313366812
58,count_additive,239,0.39029910290520187,0.46616745324138736,0.7580014963970991
58,count_plus_PB_count,239,0.38194740822973045,0.4455728251772691,0.77891148890975
58,count_plus_PE_count,239,0.2623502181763725,0.31469641969105266,0.8897160311555771
