fold_seed,model,n_rows,mae,rmse,r2
33,count_plus_all_pairs,239,0.22851855641481728,0.2780675985409636,0.9100314097322902
34,additive_head,239,0.3735257073393272,0.4423488166167204,0.7723226213193883
34,count_additive,239,0.3820060047098014,0.4557549494602466,0.7583132005573623
34,count_plus_PB_count,239,0.37241081024558287,0.43623353586187796,0.7785741901780946
34,count_plus_PE_count,239,0.25452256762576225,0.3085004596755648,0.8892606999796837
34,count_plus_BE_count,239,0.3781961728721226,0.45010325948193414,0.7642702156178999
34,count_plus_all_pairs,239,0.22535492177428879,0.276350276928278,0.9111392547348507
35,additive_head,239,0.38014105598682074,0.4525901559993681,0.7616581256463679
35,count_additive,239,0.3887485312497022,0.4658554756689755,0.7474818771923147
35,count_plus_PB_count,239,0.3786823253879861,0.443083807164259,0.7715653920083763
35,count_plus_PE_count,239,0.2637597019856597,0.321511429263906,0.8797228925452801
35,count_plus_BE_count,239,0.383095006862559,0.45557539803873953,0.7585035952436201
35,count_plus_all_pairs,239,0.23351791229787633,0.2827640400593049,0.9069666843331682
36,additive_head,239,0.37954076869825465,0.4501333768572086,0.7642386681907106
36,count_additive,239,0.38287570435618407,0.45773710283315894,0.7562063575647685
36,count_plus_PB_count,239,0.3734343607019178,0.4368115477153732,0.7779870205829571
36,count_plus_PE_count,239,0.258906478903747,0.3152833856068325,0.8843375695596898
36,count_plus_BE_count,239,0.38141967191699017,0.452587509583511,0.7616609129357654
36,count_plus_all_pairs,239,0.22888716853700922,0.28138156120554064,0.9078741701505345
37,additive_head,239,0.38088868002645093,0.44887727025365326,0.7655526261712347
37,count_additive,239,0.39004829927736717,0.46376956538387637,0.7497381602496098
37,count_plus_PB_count,239,0.3796949782077025,0.4432963854084308,0.7713461473600467
37,count_plus_PE_count,239,0.26397249614184803,0.3179154593077309,0.8823983441064951
37,count_plus_BE_count,239,0.3854293266549447,0.4558233039639851,0.7582406983492093
37,count_plus_all_pairs,239,0.22919540229505067,0.2796720313396456,0.9089901881088618
38,additive_head,239,0.3946339086569474,0.46847459375348355,0.7446344964184122
38,count_additive,239,0.39714634895417533,0.47532789555128324,0.737108376763391
38,count_plus_PB_count,239,0.3833251377398456,0.446391295763641,0.7681422706574732
38,count_plus_PE_count,239,0.26355481534579966,0.3210171420763894,0.8800924329588221
38,count_plus_BE_count,239,0.3976299425701128,0.4702171024556737,0.742731280441637
38,count_plus_all_pairs,239,0.23521947506782565,0.285968591213642,0.9048460514155314
39,additive_head,239,0.3778210412714419,0.44988867663452287,0.7644949263243745
39,count_additive,239,0.3854336657124264,0.4563739374486968,0.7576562562184167
39,count_plus_PB_count,239,0.37582813566045886,0.436159554886825,0.7786492871475451
39,count_plus_PE_count,239,0.25501932265838667,0.3095943951031822,0.888473949604211
39,count_plus_BE_count,239,0.38141585549668716,0.4477191732548542,0.7667608074198204
39,count_plus_all_pairs,239,0.22756716370688104,0.27710420224870286,0.9106537422760222
40,additive_head,239,0.37688394987879764,0.44951950970178506,0.7648812664106011
40,count_additive,239,0.38530846252730444,0.46374748190383897,0.7497619932959003
40,count_plus_PB_count,239,0.37553052099170187,0.4395614196749391,0.7751829329085271
40,count_plus_PE_count,239,0.2616323898160231,0.31924254575600164,0.8814144768638063
40,count_plus_BE_count,239,0.3847833102021054,0.45536332562925014,0.758728378251294
40,count_plus_all_pairs,239,0.2320238288046429,0.2818484343855589,0.9075682029697107
41,additive_head,239,0.38760979036466864,0.462783373102286,0.7508013774160345
41,count_additive,239,0.39201475825886484,0.4738010757877049,0.7387945537050462
41,count_plus_PB_count,239,0.382568976178979,0.44882758432764724,0.7656045249459997
41,count_plus_PE_count,239,0.25894221491556835,0.3153678116314302,0.8842756175060164
41,count_plus_BE_count,239,0.3891940560776737,0.46539801418507476,0.7479775699694332
41,count_plus_all_pairs,239,0.22816418051172466,0.27675250579904553,0.9108803921841122
42,additive_head,239,0.3746753497558972,0.44581835108628715,0.7687370689962593
42,count_additive,239,0.3779835421220913,0.44964291583829313,0.7647521548741765
42,count_plus_PB_count,239,0.3678826417585737,0.4265304568729853,0.7883149250237264
42,count_plus_PE_count,239,0.25422068323341235,0.3089631802623768,0.8889282545599402
42,count_plus_BE_count,239,0.37421742480880915,0.44082202312741037,0.7738915932124637
42,count_plus_all_pairs,239,0.22110365781632135,0.2699603659002565,0.9152011116008736
43,additive_head,239,0.3778256565692427,0.45113253879322046,0.7631908667989078
43,count_additive,239,0.37907996489697066,0.4563420152055314,0.7576901577396089
43,count_plus_PB_count,239,0.37990356411633347,0.44184254129660766,0.7728434839089565
43,count_plus_PE_count,239,0.2628060473219336,0.3176001341027459,0.882631515377983
43,count_plus_BE_count,239,0.37760315756264284,0.4491777062901812,0.7652386873011431
43,count_plus_all_pairs,239,0.2347152858547796,0.2850604644780316,0.9054494368354362
44,additive_head,239,0.38240521475502315,0.4502230678819678,0.7641447058976679
44,count_additive,239,0.38844986871109344,0.4633234772320165,0.7502193697062997
44,count_plus_PB_count,239,0.37913116960165066,0.4408899112142331,0.7738219449266379
44,count_plus_PE_count,239,0.2589011940771343,0.31240207287432076,0.8864419420168846
44,count_plus_BE_count,239,0.39006237768231183,0.46489061507063717,0.748526804154737
44,count_plus_all_pairs,239,0.22947464409483395,0.2797977073288417,0.9089083757233553
45,additive_head,239,0.3843966055139407,0.45854086453639675,0.7553494288489513
45,count_additive,239,0.39469556535558764,0.47499201171558675,0.7374797828990672
45,count_plus_PB_count,239,0.38101441519453616,0.4477267538879253,0.766752909095108
45,count_plus_PE_count,239,0.25233413978615327,0.30794072833215674,0.8896621776715484
45,count_plus_BE_count,239,0.3911459528336026,0.46852470115050016,0.7445798664122253
45,count_plus_all_pairs,239,0.22504273987331563,0.2726851667554425,0.9134806652200905
46,additive_head,239,0.3726456742886477,0.44251961223827724,0.7721467700221598
46,count_additive,239,0.3795844085037642,0.45633548612278535,0.7576970913536089
46,count_plus_PB_count,239,0.3682134453964698,0.4323866895375024,0.7824621781955847
46,count_plus_PE_count,239,0.24857485106744023,0.30399376109227694,0.8924725159325695
46,count_plus_BE_count,239,0.37403067212362784,0.4490266763051998,0.7653965314516104
