epsilon,context_seed,design_seed,mask_index,split,finite_response,atp_prediction
5.0,17,9,74,holdout,-2.4414894580841064,-3.423430106292168
5.0,17,9,75,holdout,-0.958878755569458,-1.122689066524196
5.0,17,9,76,train,3.117642641067505,3.4837329012512654
5.0,17,9,77,train,1.508366346359253,1.1247875300944699
5.0,17,9,78,train,-2.078716278076172,-2.471577258602825
5.0,17,9,79,train,2.748757839202881,2.3575045940264805
5.0,17,9,80,holdout,4.092476844787598,4.954722450693922
5.0,17,9,81,train,-1.8361458778381348,-2.5567716203304123
5.0,17,9,82,train,-0.17501606047153473,-0.18504744043450722
5.0,17,9,83,train,4.018350601196289,4.662052410315396
5.0,17,9,84,validation,2.735930919647217,2.842370722384825
5.0,17,9,85,train,2.822300910949707,2.4428533126289644
5.0,17,9,86,train,-0.22909162938594818,-0.2212657852050247
5.0,17,9,87,train,-2.7359189987182617,-3.8937928881618764
5.0,17,9,88,train,-1.4681814908981323,-1.4795908282385637
5.0,17,9,89,train,0.46694257855415344,0.487060404669563
5.0,17,9,90,validation,0.02707839012145996,0.05280387289277125
5.0,17,9,91,train,-2.243485689163208,-2.5429756426141608
5.0,17,9,92,train,-2.26727294921875,-3.1755388281009522
5.0,17,9,93,validation,2.2372846603393555,1.7425392712044465
5.0,17,9,94,train,-2.4732069969177246,-3.0168525430879116
5.0,17,9,95,train,0.1027693897485733,0.05205757488821114
5.0,17,9,96,holdout,3.9457590579986572,4.5223016606351925
5.0,17,9,97,train,-2.861938953399658,-4.107303491965571
5.0,17,9,98,train,-0.8570832014083862,-1.0599306941474382
5.0,17,9,99,train,0.14142096042633057,0.09492291654290916
5.0,17,9,100,train,-3.2898740768432617,-4.77422773758429
5.0,17,9,101,holdout,-0.45686888694763184,-0.45096197403614235
5.0,17,9,102,train,4.036663055419922,4.43898170501003
5.0,17,9,103,train,4.4672722816467285,6.224350154195951
5.0,17,9,104,train,-1.4434069395065308,-1.4603406960689576
5.0,17,9,105,train,-1.7265515327453613,-1.989217943174611
5.0,17,9,106,train,1.8897242546081543,1.319440000650141
5.0,17,9,107,validation,-4.409646511077881,-7.223354011379575
5.0,17,9,108,validation,2.584611654281616,2.0946876544091464
5.0,17,9,109,holdout,2.8100430965423584,2.8208338712162906
5.0,17,9,110,holdout,-0.028344731777906418,-0.04550244624429145
5.0,17,9,111,train,-0.5036395788192749,-0.5321808904409409
5.0,17,9,112,validation,2.592442512512207,2.0396952593681994
5.0,17,9,113,validation,-0.0655384510755539,-0.16210152384225296
5.0,17,9,114,train,-2.016228675842285,-2.222753515622268
5.0,17,9,115,train,-0.15242280066013336,-0.33448369781566084
5.0,17,9,116,train,3.1401920318603516,2.8354956159905322
5.0,17,9,117,validation,-3.714869499206543,-5.394775121910321
5.0,17,9,118,train,-1.9995242357254028,-2.5791124690415828
5.0,17,9,119,validation,-0.19498153030872345,-0.18917848183515423
5.0,17,9,120,train,2.2346768379211426,1.6176779001640778
5.0,17,9,121,train,-2.257239580154419,-2.291062982220792
5.0,17,9,122,holdout,0.9545602798461914,0.6825856852892676
5.0,17,9,123,train,-2.3005189895629883,-2.6725486642681062
5.0,17,9,124,train,-2.6350326538085938,-3.5682237458226482
5.0,17,9,125,holdout,-2.3807718753814697,-2.903320919646661
5.0,17,9,126,validation,0.07290232926607132,0.11611058549333214
5.0,17,9,127,train,-1.6133747100830078,-1.5457256880343233
8.0,17,7,0,train,3.9652795791625977,4.398449308159595
8.0,17,7,1,holdout,0.35493433475494385,0.3673824474253661
8.0,17,7,2,validation,-4.4416022300720215,-7.484286211160746
8.0,17,7,3,validation,-0.5922258496284485,-0.9614009091446108
8.0,17,7,4,validation,-0.07478167116641998,-0.5080307463953452
8.0,17,7,5,train,3.11599063873291,2.651382323354482
8.0,17,7,6,validation,0.10704337805509567,-0.384352385359199
8.0,17,7,7,train,-0.055126871913671494,0.20435246640926052
8.0,17,7,8,train,-0.05971074476838112,-0.4748085553530108
8.0,17,7,9,holdout,3.6127493381500244,4.880220282867597
8.0,17,7,10,train,3.8775646686553955,5.090885877248223
8.0,17,7,11,holdout,0.1724148690700531,0.09012022593984982
8.0,17,7,12,train,3.130035877227783,3.0242929379310515
8.0,17,7,13,train,4.439309597015381,6.148222492119117
8.0,17,7,14,holdout,-0.18039798736572266,-0.17039872309088738
8.0,17,7,15,holdout,-0.00907628983259201,-0.13410893950879166
8.0,17,7,16,train,3.6963653564453125,3.8705845201399
8.0,17,7,17,train,-0.13097767531871796,-0.28673884831368923
8.0,17,7,18,train,-2.424027681350708,-3.0091146513310836
8.0,17,7,19,train,1.8673663139343262,1.53047253570494
8.0,17,7,20,train,4.992430686950684,7.267789694451867
8.0,17,7,21,train,-1.7794721126556396,-1.708167579175872
8.0,17,7,22,validation,-0.9948154091835022,-0.7254979916067604
8.0,17,7,23,validation,-4.124351978302002,-6.571664849699806
8.0,17,7,24,train,-3.0544328689575195,-4.1222433345331115
8.0,17,7,25,train,2.4646925926208496,1.9174866561406447
8.0,17,7,26,train,1.5485771894454956,1.4391353845886645
8.0,17,7,27,train,0.01989845559000969,-0.02371177822351457
8.0,17,7,28,holdout,5.070518493652344,7.55786467658164
8.0,17,7,29,train,3.595921754837036,3.6157115053065962
8.0,17,7,30,train,3.7449283599853516,3.529982164502144
8.0,17,7,31,validation,-1.170640468597412,-1.2343608339627585
8.0,17,7,32,train,-4.112741470336914,-7.003401545186836
8.0,17,7,33,train,-0.28070080280303955,-0.22886497465611239
8.0,17,7,34,train,3.4379258155822754,3.193044427548783
8.0,17,7,35,train,-3.7688422203063965,-5.9294959509396685
8.0,17,7,36,train,3.95293927192688,4.716427295982651
8.0,17,7,37,train,2.6652579307556152,2.442469986633261
8.0,17,7,38,train,2.1509785652160645,2.0033616501055707
8.0,17,7,39,train,-3.7124791145324707,-4.895080861696605
8.0,17,7,40,train,-4.8891777992248535,-7.642468012317826
8.0,17,7,41,train,3.173442840576172,2.578609553756003
8.0,17,7,42,train,-4.918931007385254,-7.549765014801766
8.0,17,7,43,holdout,4.8049516677856445,6.967635040481884
8.0,17,7,44,train,5.30839729309082,7.756504773548748
8.0,17,7,45,holdout,0.13301634788513184,0.11115961149334905
8.0,17,7,46,train,3.349168300628662,4.182038507276974
8.0,17,7,47,holdout,3.8651106357574463,4.826425318493595
