m_gain,repeat,gain,holdout_r2,n_train_available,epsilon
64,26,1.5443167072004385,0.9616418761652838,96,0.6
64,27,1.4639090055706525,0.9575015207217508,96,0.6
64,28,1.5231329897006216,0.9611817947778438,96,0.6
64,29,1.5438107473989855,0.9616361469790558,96,0.6
64,30,1.5087649871051882,0.9606129457169065,96,0.6
64,31,1.5354439251887553,0.961504085277965,96,0.6
64,32,1.5360753043061508,0.9615165062580692,96,0.6
64,33,1.5504276762159173,0.9616907450024652,96,0.6
64,34,1.5434635157663452,0.9616320662007933,96,0.6
64,35,1.5285377623104393,0.9613420522699299,96,0.6
64,36,1.5287357526698253,0.9613473652336656,96,0.6
64,37,1.5517998049801027,0.9616965559163202,96,0.6
64,38,1.5370303895235113,0.9615345337021968,96,0.6
64,39,1.5277071658832833,0.961319334167476,96,0.6
64,40,1.5377352123462045,0.9615472492295021,96,0.6
64,41,1.5363828668870174,0.9615224116892298,96,0.6
64,42,1.5700082942048676,0.9615944298038313,96,0.6
64,43,1.5108441029272313,0.9607081054228281,96,0.6
64,44,1.531807247961215,0.9614247386687176,96,0.6
64,45,1.4740907532954868,0.9583852596329168,96,0.6
64,46,1.5186198752081634,0.9610254736721155,96,0.6
64,47,1.5240594763029383,0.9612113519746998,96,0.6
64,48,1.5081909160409046,0.9605859051680268,96,0.6
64,49,1.5266030183213737,0.9612880600733359,96,0.6
96,0,1.520469560521735,0.9610920180483947,96,0.6
0,0,1.0,0.8551368050629029,96,1.2
1,0,1.2176977220362302,0.9431034401583438,96,1.2
1,1,1.4596520490222777,0.9792808602485963,96,1.2
1,2,-4.264006954562484,-17.252229442184245,96,1.2
1,3,1.7546277250086557,0.935674573472826,96,1.2
1,4,1.5452468288124137,0.9765525280514235,96,1.2
1,5,1.5582110965965865,0.9754316766393836,96,1.2
1,6,1.5582110965965865,0.9754316766393836,96,1.2
1,7,1.4514570173709411,0.9791164203165144,96,1.2
1,8,0.9463690745962905,0.8254071047006257,96,1.2
1,9,1.7413514593229906,0.939708370657256,96,1.2
1,10,1.623548567024502,0.9669495351650917,96,1.2
1,11,0.12896519026889178,-0.022010032376802213,96,1.2
1,12,1.2768691710302091,0.957940493838237,96,1.2
1,13,0.859262201055961,0.7703312283596213,96,1.2
1,14,1.2150132301365009,0.94233835284446,96,1.2
1,15,1.2768691710302091,0.957940493838237,96,1.2
1,16,1.0369347606269896,0.8737587013128846,96,1.2
1,17,1.7413514593229906,0.939708370657256,96,1.2
1,18,1.0369347606269896,0.8737587013128846,96,1.2
1,19,1.1962212832601797,0.9367590932792096,96,1.2
1,20,1.7648254859146149,0.9324435644645939,96,1.2
1,21,1.6039232336233555,0.9699941280222847,96,1.2
1,22,2.203789703543877,0.6841737365147087,96,1.2
1,23,1.246657247837381,0.9508494819404664,96,1.2
1,24,1.50892509130033,0.9787014088956607,96,1.2
1,25,1.5452468288124137,0.9765525280514235,96,1.2
1,26,1.6905946315433502,0.953330168474806,96,1.2
1,27,1.6831138550898403,0.9550965422881819,96,1.2
1,28,1.50892509130033,0.9787014088956607,96,1.2
1,29,0.9058170956605162,0.8008124413841303,96,1.2
1,30,1.5253356062465595,0.9779114796110677,96,1.2
1,31,-0.1922274717756955,-0.5575257156192281,96,1.2
1,32,2.203789703543877,0.6841737365147087,96,1.2
1,33,2.031581106482043,0.8070118958479259,96,1.2
1,34,1.1781857065698356,0.9310365601932503,96,1.2
1,35,1.2863363424489307,0.9599544904053126,96,1.2
1,36,0.12896519026889178,-0.022010032376802213,96,1.2
1,37,1.2504163996335254,0.9517868587569,96,1.2
1,38,1.6362958754934513,0.9647434372539757,96,1.2
1,39,2.085386589768109,0.7721600061276136,96,1.2
1,40,1.6039232336233555,0.9699941280222847,96,1.2
1,41,1.3034191733886742,0.963337427056356,96,1.2
1,42,1.3644668603413588,0.9727853324077268,96,1.2
1,43,1.6362958754934513,0.9647434372539757,96,1.2
1,44,0.859262201055961,0.7703312283596213,96,1.2
1,45,1.2863363424489307,0.9599544904053126,96,1.2
1,46,2.029215621486113,0.8084705275708401,96,1.2
1,47,1.2798982273725086,0.9585956793344599,96,1.2
1,48,1.3559484347722084,0.9717148047749099,96,1.2
1,49,6.698798723797032,-14.140433796274468,96,1.2
2,0,1.4897562977694527,0.9792464110237881,96,1.2
2,1,1.6497956569701893,0.9622108855693493,96,1.2
2,2,1.525019607570658,0.9779295069245748,96,1.2
2,3,1.5513116781002647,0.9760513526787913,96,1.2
2,4,1.310522720562517,0.9646490044770458,96,1.2
2,5,1.1722318206219986,0.9290683439464362,96,1.2
2,6,1.2080684785018765,0.9403220461032237,96,1.2
2,7,1.454243743292824,0.9791806848007335,96,1.2
2,8,1.434257518370327,0.9785294134981786,96,1.2
2,9,1.681721199295969,0.955418534913016,96,1.2
2,10,1.2810984241777736,0.958852471091796,96,1.2
2,11,1.824525933620173,0.9112173828831935,96,1.2
2,12,1.1860351707095123,0.9335714068970744,96,1.2
2,13,1.2797078210485644,0.958554793735442,96,1.2
2,14,1.8092106864936999,0.9170390955635584,96,1.2
2,15,1.550107127155419,0.9761541342563377,96,1.2
2,16,1.4169716212307089,0.9776093317324654,96,1.2
2,17,1.5472000960340926,0.9763955652820074,96,1.2
2,18,1.2873291710133723,0.960159948360045,96,1.2
2,19,1.6932926922315426,0.9526778886664591,96,1.2
2,20,1.7033117870601713,0.9501851226376375,96,1.2
2,21,1.6357663939591787,0.964838653946229,96,1.2
2,22,1.6372916792549617,0.964563520652662,96,1.2
2,23,1.7706694235634435,0.930540082750436,96,1.2
2,24,1.5543934204523469,0.9757810793685566,96,1.2
2,25,1.5367781703806398,0.9771841834739307,96,1.2
2,26,1.4531426970459271,0.9791563215120779,96,1.2
2,27,1.6390817364684436,0.9642373407854595,96,1.2
2,28,1.4604750850438715,0.9792932647205613,96,1.2
2,29,1.7722236720370073,0.9300274665073703,96,1.2
2,30,1.4569581460693868,0.9792350119509828,96,1.2
2,31,1.4920056220350542,0.9792035349947209,96,1.2
2,32,1.4522024090770764,0.9791344523989829,96,1.2
2,33,1.5321073938311536,0.9774985772098822,96,1.2
2,34,1.2617794544184666,0.9545251722375759,96,1.2
2,35,0.08522409592989626,-0.08821741929165383,96,1.2
2,36,1.2744223740257723,0.95740383117538,96,1.2
2,37,2.622220024939914,0.24883629592760204,96,1.2
2,38,1.5629467424712593,0.9749758272087713,96,1.2
2,39,1.508737031135857,0.9787087325729685,96,1.2
2,40,1.6148213195014132,0.9683561162368309,96,1.2
2,41,1.3385272866496902,0.96927519352031,96,1.2
2,42,1.4781337879261105,0.979378669570008,96,1.2
2,43,1.6006653493960494,0.9704582564049716,96,1.2
2,44,1.2795807609638328,0.9585274880188228,96,1.2
2,45,1.710712399987328,0.948272444930223,96,1.2
2,46,1.5932212125881533,0.9714746516808364,96,1.2
2,47,1.3003228406295526,0.9627482393273655,96,1.2
2,48,1.803276797311089,0.9192248882357854,96,1.2
2,49,1.5367781703806398,0.9771841834739307,96,1.2
4,0,1.4316755157716101,0.9784130057395142,96,1.2
4,1,1.4735845944696968,0.9793896951252002,96,1.2
4,2,1.3560801133570184,0.9717319646785798,96,1.2
4,3,1.4809690667463453,0.9793602029770571,96,1.2
4,4,1.5095663929883845,0.9786761399622051,96,1.2
4,5,1.311719868365046,0.9648645390210974,96,1.2
4,6,1.212322731188528,0.9415635447794924,96,1.2
4,7,1.7632137350825767,0.9329618875310604,96,1.2
4,8,1.4840045555291352,0.9793305633124283,96,1.2
4,9,1.4464464798589698,0.9789792365523796,96,1.2
4,10,1.2695525350217765,0.956315983743106,96,1.2
4,11,1.3689724228875866,0.9733190582950327,96,1.2
4,12,1.4307896457630342,0.9783713655974153,96,1.2
4,13,1.53437767047032,0.9773487811568674,96,1.2
4,14,1.3193974302970082,0.9662090738291671,96,1.2
4,15,1.4623058335432904,0.9793181664464046,96,1.2
4,16,1.7133434567172088,0.9475778351880336,96,1.2
4,17,1.5599648846151988,0.9752657545498471,96,1.2
4,18,1.5293562929763516,0.9776724483551796,96,1.2
4,19,1.4705721616670817,0.9793843811950061,96,1.2
4,20,1.4848968723286158,0.9793199094085163,96,1.2
4,21,1.724668087122998,0.9445005622211968,96,1.2
4,22,1.4922808949363608,0.9791979029498603,96,1.2
4,23,1.4562439906084,0.9792215096523097,96,1.2
4,24,1.3320293352132566,0.9682791632446296,96,1.2
4,25,1.5121442060674621,0.9785699719219277,96,1.2
4,26,1.2833075142604764,0.9593209527774655,96,1.2
4,27,1.5745626188956547,0.9737525051225022,96,1.2
4,28,1.3440224872357525,0.9700810203381238,96,1.2
4,29,1.319576669588419,0.9662396832641413,96,1.2
4,30,1.5112349252481527,0.9786082611432337,96,1.2
4,31,1.2863057422958863,0.959948140604247,96,1.2
4,32,1.5462991020987167,0.9764684933847058,96,1.2
4,33,1.4722304466875036,0.9793885500017198,96,1.2
4,34,1.4834674783828483,0.9793365506483295,96,1.2
4,35,1.288589166666433,0.9604191224253129,96,1.2
4,36,1.250229006314595,0.951740501293281,96,1.2
4,37,1.3697665290603374,0.9734107969075213,96,1.2
4,38,1.2778896822124641,0.9581623657596942,96,1.2
4,39,1.4547732770674682,0.9791919238283833,96,1.2
4,40,1.553669341660834,0.9758455275480822,96,1.2
4,41,1.5983486122373551,0.9707811537421103,96,1.2
4,42,1.3980347407093583,0.9762214954867001,96,1.2
4,43,1.4703587980066064,0.9793836236589677,96,1.2
4,44,1.499203650656932,0.9790286683829172,96,1.2
4,45,1.4845088798243797,0.9793246502473345,96,1.2
4,46,1.3349288084399897,0.9687293835121994,96,1.2
4,47,1.3476456622323059,0.9705940335621064,96,1.2
4,48,1.5566698006336854,0.975574682731791,96,1.2
