program,condition,n_examples,r2,mse,mae,n_labels_touched,label_indices,scale,group,labels,delta_mse_vs_base,delta_r2_vs_base,reconstruction_status,reconstruction_method,n_reconstruction_features,source_labels,reconstruction_write
first_order_is_A,ablate_explicit_detector_group,304,0.7683523232434777,0.04947979937644726,0.12369185425214874,1.0,6,0.0,explicit_detector,is_A_1,0.04947979937644726,-0.2316476767565223,,,,,
first_order_is_A,ablate_explicit_group_then_reconstruct_first_order,304,1.0,3.27933629504833e-22,1.7183243862882665e-11,1.0,6,,explicit_detector,,2.4581671875047313e-22,0.0,ok,first_order,1.0,tokens:A,
first_order_is_A,ablate_explicit_group_then_reconstruct_lifted,304,1.0,3.27933629504833e-22,1.7183243862882665e-11,1.0,6,,explicit_detector,,2.4581671875047313e-22,0.0,ok,lifted,1.0,tokens:A,
first_order_is_A,ablate_explicit_group_then_reconstruct_semantic_lifted,304,1.0,8.211691075435984e-23,8.60042410096091e-12,1.0,6,,explicit_detector,,0.0,0.0,ok,,,,is_A_1 <- tokens:A
paircat_AB_to_numeric,baseline_readout,304,0.9999999999999992,7.250625054226504e-17,4.493402849091224e-09,,,,,,,,,,,,
paircat_AB_to_numeric,scale_group:all_nonpad,304,-0.019513715854620806,0.09602068237965956,0.2222105719194081,17.0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,0.0,all_nonpad,detect_AB_num_2;indices:0;indices:1;indices:2;indices:3;indices:4;indices:5;one;paircat_AB_3:AB;paircat_AB_3:OTHER;prev_token_4:A;prev_token_4:B;prev_token_4:C;tokens:A;tokens:B;tokens:BOS;tokens:C,0.0960206823796595,-1.01951371585462,,,,,
paircat_AB_to_numeric,scale_group:all_nonpad,304,0.7451215714868474,0.024005170552485283,0.11110528566601849,17.0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,0.5,all_nonpad,detect_AB_num_2;indices:0;indices:1;indices:2;indices:3;indices:4;indices:5;one;paircat_AB_3:AB;paircat_AB_3:OTHER;prev_token_4:A;prev_token_4:B;prev_token_4:C;tokens:A;tokens:B;tokens:BOS;tokens:C,0.02400517055248521,-0.2548784285131518,,,,,
paircat_AB_to_numeric,scale_group:all_nonpad,304,0.7451215696848343,0.02400517072220396,0.11110528684076078,17.0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,1.5,all_nonpad,detect_AB_num_2;indices:0;indices:1;indices:2;indices:3;indices:4;indices:5;one;paircat_AB_3:AB;paircat_AB_3:OTHER;prev_token_4:A;prev_token_4:B;prev_token_4:C;tokens:A;tokens:B;tokens:BOS;tokens:C,0.024005170722203886,-0.2548784303151649,,,,,
paircat_AB_to_numeric,scale_group:tokens_nonbos,304,0.9999999985408171,1.3742996840375057e-10,1.1723049373623004e-05,3.0,13;14;16,0.0,tokens_nonbos,tokens:A;tokens:B;tokens:C,1.3742989589750002e-10,-1.4591821084763978e-09,,,,,
paircat_AB_to_numeric,scale_group:tokens_nonbos,304,0.9999999996351667,3.436102484743314e-11,5.861821427551532e-06,3.0,13;14;16,0.5,tokens_nonbos,tokens:A;tokens:B;tokens:C,3.43609523411826e-11,-3.648324975458195e-10,,,,,
paircat_AB_to_numeric,scale_group:tokens_nonbos,304,0.9999999996353145,3.4347111380431746e-11,5.86063446461095e-06,3.0,13;14;16,1.5,tokens_nonbos,tokens:A;tokens:B;tokens:C,3.43470388741812e-11,-3.6468472686124187e-10,,,,,
paircat_AB_to_numeric,scale_group:indices,304,0.9387241729589967,0.005771130524637428,0.06079476930885658,6.0,1;2;3;4;5;6,0.0,indices,indices:0;indices:1;indices:2;indices:3;indices:4;indices:5,0.0057711305246373554,-0.06127582704100254,,,,,
paircat_AB_to_numeric,scale_group:indices,304,0.9846810436360209,0.0014427825938373683,0.03039738442938556,6.0,1;2;3;4;5;6,0.5,indices,indices:0;indices:1;indices:2;indices:3;indices:4;indices:5,0.0014427825938372958,-0.015318956363978287,,,,,
paircat_AB_to_numeric,scale_group:indices,304,0.9846810420509318,0.0014427827431255412,0.030397385329556482,6.0,1;2;3;4;5;6,1.5,indices,indices:0;indices:1;indices:2;indices:3;indices:4;indices:5,0.0014427827431254688,-0.015318957949067458,,,,,
paircat_AB_to_numeric,scale_group:prev_or_shift,304,0.9796535690506318,0.0019162843553421503,0.038814337259896976,3.0,10;11;12,0.0,prev_or_shift,prev_token_4:A;prev_token_4:B;prev_token_4:C,0.001916284355342078,-0.02034643094936739,,,,,
paircat_AB_to_numeric,scale_group:prev_or_shift,304,0.9949133922438653,0.0004790710906054781,0.019407170011583104,3.0,10;11;12,0.5,prev_or_shift,prev_token_4:A;prev_token_4:B;prev_token_4:C,0.0004790710906054056,-0.0050866077561338985,,,,,
paircat_AB_to_numeric,scale_group:prev_or_shift,304,0.9949133923190334,0.00047907108352593445,0.01940716944893845,3.0,10;11;12,1.5,prev_or_shift,prev_token_4:A;prev_token_4:B;prev_token_4:C,0.0004790710835258619,-0.0050866076809658045,,,,,
paircat_AB_to_numeric,scale_group:explicit_detector,304,-0.05258847736952177,0.09913575687136769,0.24028605223978236,3.0,0;8;9,0.0,explicit_detector,detect_AB_num_2;paircat_AB_3:AB;paircat_AB_3:OTHER,0.09913575687136762,-1.0525884773695209,,,,,
paircat_AB_to_numeric,scale_group:explicit_detector,304,0.7368528807306789,0.024783939210960986,0.12014302602875274,3.0,0;8;9,0.5,explicit_detector,detect_AB_num_2;paircat_AB_3:AB;paircat_AB_3:OTHER,0.024783939210960913,-0.26314711926932033,,,,,
paircat_AB_to_numeric,scale_group:explicit_detector,304,0.7368528804384393,0.024783939238484938,0.12014303000346259,3.0,0;8;9,1.5,explicit_detector,detect_AB_num_2;paircat_AB_3:AB;paircat_AB_3:OTHER,0.024783939238484865,-0.2631471195615599,,,,,
paircat_AB_to_numeric,scale_group:true_detector,304,0.3451621920778444,0.061674474984358144,0.08057326209854727,2.0,0;8,0.0,true_detector,detect_AB_num_2;paircat_AB_3:AB,0.061674474984358074,-0.6548378079221548,,,,,
paircat_AB_to_numeric,scale_group:true_detector,304,0.8362905480070458,0.015418618747258844,0.04028663317843229,2.0,0;8,0.5,true_detector,detect_AB_num_2;paircat_AB_3:AB,0.01541861874725877,-0.1637094519929534,,,,,
paircat_AB_to_numeric,scale_group:true_detector,304,0.8362905480567048,0.01541861874258182,0.04028663437295708,2.0,0;8,1.5,true_detector,detect_AB_num_2;paircat_AB_3:AB,0.015418618742581746,-0.16370945194329445,,,,,
paircat_AB_to_numeric,scale_group:false_detector,304,0.6022493305526329,0.037461281887009645,0.1597127948661204,1.0,9,0.0,false_detector,paircat_AB_3:OTHER,0.037461281887009576,-0.39775066944736637,,,,,
paircat_AB_to_numeric,scale_group:false_detector,304,0.9005623327236323,0.00936532046370222,0.07985639734372331,1.0,9,0.5,false_detector,paircat_AB_3:OTHER,0.009365320463702148,-0.09943766727636694,,,,,
paircat_AB_to_numeric,scale_group:false_detector,304,0.9005623323817337,0.0093653204959032,0.07985640012390834,1.0,9,1.5,false_detector,paircat_AB_3:OTHER,0.009365320495903127,-0.09943766761826556,,,,,
paircat_AB_to_numeric,scale_group:reconstruct_from,304,0.9796439055978433,0.0019171944866297112,0.03882605781913169,6.0,10;11;12;13;14;16,0.0,reconstruct_from,prev_token_4:A;prev_token_4:B;prev_token_4:C;tokens:A;tokens:B;tokens:C,0.0019171944866296388,-0.02035609440215591,,,,,
paircat_AB_to_numeric,scale_group:reconstruct_from,304,0.9949109763806313,0.00047929862343084706,0.0194130292063066,6.0,10;11;12;13;14;16,0.5,reconstruct_from,prev_token_4:A;prev_token_4:B;prev_token_4:C;tokens:A;tokens:B;tokens:C,0.0004792986234307745,-0.005089023619367916,,,,,
paircat_AB_to_numeric,scale_group:reconstruct_from,304,0.9949109764559472,0.00047929861633738935,0.019413028019343637,6.0,10;11;12;13;14;16,1.5,reconstruct_from,prev_token_4:A;prev_token_4:B;prev_token_4:C;tokens:A;tokens:B;tokens:C,0.0004792986163373168,-0.0050890235440520515,,,,,
paircat_AB_to_numeric,scale_group:prev_A,304,0.9932746111158773,0.0006334161275905043,0.012829846694974514,1.0,10,0.0,prev_A,prev_token_4:A,0.0006334161275904317,-0.006725388884121886,,,,,
paircat_AB_to_numeric,scale_group:prev_A,304,0.9983186527801253,0.00015835403178875274,0.006414925557528738,1.0,10,0.5,prev_A,prev_token_4:A,0.00015835403178868023,-0.0016813472198738966,,,,,
paircat_AB_to_numeric,scale_group:prev_A,304,0.998318652775499,0.00015835403222446375,0.006414925511727999,1.0,10,1.5,prev_A,prev_token_4:A,0.00015835403222439124,-0.001681347224500196,,,,,
