budget_measurements,epsilon,method,n,heldout_r2_mean,heldout_r2_std,heldout_r2_sem,mae_mean,mae_std,mae_sem,rmse_mean,rmse_std,rmse_sem,pair_topk_recall_mean,pair_topk_recall_std,pair_topk_recall_sem,confound_abs_coef_mean,confound_abs_coef_std,confound_abs_coef_sem,true_pair_abs_coef_mean_mean,true_pair_abs_coef_mean_std,true_pair_abs_coef_mean_sem,main_topk_overlap_mean,main_topk_overlap_std,main_topk_overlap_sem,omp_k_mean,omp_k_std,omp_k_sem,omp_val_r2_mean,omp_val_r2_std,omp_val_r2_sem,budget_forward_mean,budget_forward_std,budget_forward_sem,budget_backward_mean,budget_backward_std,budget_backward_sem
256,5.0,multigain_atp,3,0.7216352465268866,0.030327222316776124,0.017509429968364323,0.05713125653080393,0.007099887806752829,0.004099122136444888,0.12805425589164768,0.008486844982393727,0.004899882235155644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,256.0,0.0,0.0,1.0,0.0,0.0
16,5.0,raw_atp,3,0.6888555535648081,0.04915565514511526,0.02838003073022471,0.07105191434631507,0.0060235143872621084,0.0034776776529533643,0.14178583336238612,0.007246193597464084,0.00418359182409603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,5.0,raw_atp,3,0.6718549966600095,0.05470931579612726,0.031586438202074324,0.0705037940712404,0.006840734515803993,0.003949499914154199,0.14190774976231754,0.011642121454566418,0.006721581955732244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,5.0,raw_atp,3,0.6532990998241376,0.0590047198928218,0.034066390913579145,0.0711325879879396,0.0055077471682208464,0.003179899310200705,0.14469171112955326,0.009897411596069893,0.005714273249271472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,5.0,raw_atp,3,0.6674158662819693,0.043798075832947904,0.025286830872140117,0.07154102732939394,0.002585046259179542,0.0014924771536049448,0.14434424955754768,0.003173180054926726,0.0018320363588990988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56,5.0,raw_atp,3,0.6511326464236015,0.043334519154477086,0.02501919629904034,0.0728340542208018,0.003266209900814674,0.0018857471654651742,0.14772989638882147,0.006811703392655144,0.003932738787389338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,5.0,raw_atp,3,0.6815063247647816,0.01628326222338717,0.009401145827957855,0.07136285277669964,0.0035461649014781878,0.0020473792604592356,0.14201598758091474,0.0049199885798261655,0.0028405567309725236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72,5.0,raw_atp,3,0.6672237411472244,0.019035729601225307,0.010990283609488357,0.07208827477873377,0.0033939912973699688,0.0019595217891637986,0.14523150078921293,0.006712181582071773,0.0038752798432587854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
80,5.0,raw_atp,3,0.6622043432802703,0.01729057557450784,0.009982718462385663,0.07166617591300323,0.004527911679993458,0.0026141910273110728,0.14250634121283803,0.007685969630954423,0.004437496635414826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96,5.0,raw_atp,3,0.6718459140359828,0.0018186097351190924,0.001049974820121873,0.07066893440056443,0.0023948960668163264,0.001382693888857582,0.140782770705552,0.006206064387035773,0.0035830729444632546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
