method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean,source_file,source_dir,budget_measurements,n_components,n_pairs,lifted_dim
lifted_omp,0.1919137377769449,0.1728637220214444,0.2469530092347437,1,8.0,24,0,,1.0,-0.0913783791523328,0.5,0.0,1.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
multigain_atp,0.3529232479006239,0.1328022503106112,0.2209852867657883,1,8.0,24,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
raw_atp,0.3722598865176857,0.1081079220537509,0.2176583845636749,1,8.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
scalar_cal_atp,0.3724989688150095,0.1080089756335584,0.2176169317225328,1,8.0,24,1,0.9989719318530148,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
subset_ridge,-0.0422051435949502,0.2052918099041871,0.2804542766020758,1,8.0,24,0,,,,1.0,0.0944515126186825,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
finite_single,0.2768413444781642,0.1475430308589888,0.25988127484817,2,8.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
first_order_omp,0.1691575468566979,0.1752003850494979,0.2785592175514236,2,8.0,24,0,,1.0,0.3995780254182696,0.5,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
lifted_omp,0.6464476275735782,0.1098965862540728,0.1817126124105314,2,8.0,24,0,,2.0,0.9205829218196876,0.5,0.0,1.0,5.042480348848836,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
multigain_atp,0.0777727144072061,0.1914975436290721,0.2934790995395591,2,8.0,24,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
raw_atp,0.3335601881719715,0.1270707660553385,0.2494816804783895,2,8.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
scalar_cal_atp,0.3407984246327284,0.1230375636309449,0.2481231651147814,2,8.0,24,1,0.9533255176412992,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
subset_ridge,-0.3765724766763021,0.2669773787186713,0.3585566116910636,2,8.0,24,0,,,,0.5,0.1054947547477646,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
finite_single,0.5990432826021236,0.0993858428815685,0.1572923769703482,0,5.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
first_order_omp,0.682616759051903,0.0746094552028183,0.1399429175363137,0,5.0,32,0,,2.0,0.7431417141795305,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
lifted_omp,0.682616759051903,0.0746094552028183,0.1399429175363137,0,5.0,32,0,,2.0,0.5915655210894027,1.0,0.0,1.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
multigain_atp,0.6826163143201709,0.0746280140731367,0.1399430155834476,0,5.0,32,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
raw_atp,0.6928900085604335,0.0671784486260734,0.1376594092535977,0,5.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
scalar_cal_atp,0.6994837484553076,0.066254876515775,0.1361735972114598,0,5.0,32,1,0.8909508989567527,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
subset_ridge,0.2389368548874141,0.1651131740878266,0.2167051708853796,0,5.0,32,0,,,,1.0,0.0873176365118309,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
finite_single,0.5804161623602356,0.0974308905837912,0.1611598654415988,1,5.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
first_order_omp,0.6739276601663706,0.0709764907643112,0.1420706935731317,1,5.0,32,0,,2.0,0.5365161081672583,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
lifted_omp,0.7819602796720664,0.057195123058105,0.1161757082674251,1,5.0,32,0,,6.0,0.7481488950761561,1.0,0.0,0.5,2.94100845136599,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
multigain_atp,0.6736792984351309,0.0710846966900467,0.1421247892487463,1,5.0,32,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
raw_atp,0.6815242340478227,0.0687958582647221,0.1404060158728094,1,5.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
scalar_cal_atp,0.6616258396589025,0.0746564109793977,0.1447258524358459,1,5.0,32,1,0.7851089140239069,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
