method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean,noise_std,source_dir,source_file,measurements,holdout_measurements,mask_density,mode,n_components
lifted_omp,0.9334044922433336,0.0505594965998043,0.0652402038620505,2,5.0,96,0,,11.0,0.964852857847104,1.0,0.0,1.0,7.074107996201477,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.3602919951111393,0.1345498773875327,0.2343622412554487,2,8.0,0,1,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
scalar_cal_atp,0.3798534667646859,0.1324572562333905,0.23075116912779,2,8.0,96,1,0.6606334206594451,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.3901977125763006,0.1269589833280283,0.2288185738940467,2,8.0,96,1,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
finite_single,0.3142932772007619,0.1534119760715879,0.2426419869569337,2,8.0,64,0,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
subset_ridge,-1.7280476412057122,0.380507929131307,0.4839747734027703,2,8.0,96,0,,,,0.0,0.8475899265119735,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.3902552345278205,0.1269288315793979,0.2288077815424996,2,8.0,96,0,,2.0,0.1965058778354559,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
lifted_omp,0.9679476707165424,0.0410628367410926,0.0524597900130773,2,8.0,96,0,,4.0,0.9798643159864938,1.0,0.0,1.0,10.897410022349291,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.6058624288710395,0.120730707034427,0.1702055878526452,0,5.0,0,1,,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
scalar_cal_atp,0.6068766507957035,0.1187358047934905,0.1699864544229765,0,5.0,96,1,0.8767578862227696,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.6117013191137655,0.1187377705156092,0.1689401414636709,0,5.0,96,1,,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
finite_single,0.5325764804546513,0.1364887074338898,0.1853553716445481,0,5.0,64,0,,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
subset_ridge,0.1766645985354931,0.1925372857130863,0.2460018032757024,0,5.0,96,0,,,,1.0,0.181002502474936,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.5589085815926376,0.1350138376952693,0.1800587372721779,0,5.0,96,0,,6.0,0.590387200271869,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
lifted_omp,0.7143090926626732,0.1051352497902841,0.1449099161291627,0,5.0,96,0,,4.0,0.7175728443653393,1.0,0.0,0.5,2.308249106476601,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.3699337709148619,0.1603178952606594,0.2495481673918063,0,8.0,0,1,,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
scalar_cal_atp,0.3796689494595952,0.155483862340606,0.2476127729590743,0,8.0,96,1,0.8109740232102223,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.3973453391892176,0.1530486400554384,0.2440594023636292,0,8.0,96,1,,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
finite_single,0.3210388580024905,0.1749325038825366,0.2590500875849916,0,8.0,64,0,,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
subset_ridge,-0.0736752841916548,0.2459763038109397,0.325760003929709,0,8.0,96,0,,,,1.0,0.2252671278872192,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.3505568284202456,0.1745891126433499,0.2533563892987661,0,8.0,96,0,,7.0,0.3288294541912273,0.5,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
lifted_omp,0.8954773990325333,0.081459033227519,0.1016404052089655,0,8.0,96,0,,4.0,0.8267269250198878,1.0,0.0,1.0,8.748749429984652,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.5298616117599775,0.1247690369853424,0.1727489253940394,1,5.0,0,1,,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
scalar_cal_atp,0.5421242556125418,0.1223140333732319,0.1704811303646225,1,5.0,96,1,0.8554461070666312,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.5338265524047688,0.1218377624263025,0.1720189387626682,1,5.0,96,1,,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
finite_single,0.4594159899732672,0.1366974799273739,0.1852397111779746,1,5.0,64,0,,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
subset_ridge,-0.2573883210574961,0.2195960770381784,0.2825122009051977,1,5.0,96,0,,,,1.0,0.0564204602110058,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.4632111211007769,0.1346688268113397,0.1845883349005736,1,5.0,96,0,,3.0,0.5607962248920608,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
lifted_omp,0.8344185435652887,0.0807399647418341,0.1025199407587335,1,5.0,96,0,,4.0,0.7425526944209497,1.0,0.0,1.0,6.23996292177644,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.3024395194293231,0.1607231376628725,0.2440465113231766,1,8.0,0,1,,,,1.0,0.0,0.0,0.0,0.1,runs/claim3_noise_0.1,runs/claim3_noise_0.1/claim3_results.csv,96,512,0.3,combined,64
