epsilon,component,layer,bin,token_start,token_end_exclusive,finite_effect,atp_effect,atp_calibrated_effect,ridge_effect,omp_effect
2.0,23,2,7,55,63,3.008547306060791,3.1318788528442383,3.3597818087965976,3.453460301874395,3.387269380051693
2.0,24,3,0,0,7,0.0,0.0,0.0,-0.0660692406320877,0.0
2.0,25,3,1,7,15,0.0,0.0,0.0,-0.18694222714457837,0.0
2.0,26,3,2,15,23,0.0,0.0,0.0,0.08093690799913072,0.0
2.0,27,3,3,23,31,0.0,0.0,0.0,0.04470301144648802,0.0
2.0,28,3,4,31,39,0.0,0.0,0.0,-0.09156509439654821,0.0
2.0,29,3,5,39,47,0.0,0.0,0.0,0.019566506129091568,0.0
2.0,30,3,6,47,55,0.0,0.0,0.0,-0.1106536816245959,0.0
2.0,31,3,7,55,63,2.3224709033966064,2.195274591445923,2.3550220120919274,2.078204697228072,2.0676520727816676
5.0,0,0,0,0,7,-0.0518505722284317,-0.09188875555992126,-0.07447456088105264,-0.16601546361602598,0.0
5.0,1,0,1,7,15,0.040619753301143646,0.06152871064841747,0.049868165905566926,0.0801729225850408,0.0
5.0,2,0,2,15,23,0.07456189393997192,0.1273821573704481,0.10324147036749133,0.16401540735855621,0.0
5.0,3,0,3,23,31,0.05541913956403732,0.2010503225028515,0.16294849562555888,0.2059148920498538,0.0
5.0,4,0,4,31,39,-0.11537601053714752,0.22268962115049362,0.18048684680614685,-0.14781276856304243,0.0
5.0,5,0,5,39,47,-0.09493627399206161,0.47258809208869934,0.3830260886814268,-0.06863727006461023,0.0
5.0,6,0,6,47,55,0.23098993301391602,1.2700319290161133,1.0293432492587378,0.6620018173774641,0.0
5.0,7,0,7,55,63,6.260829925537109,7.873338460922241,6.3812315334134135,6.794584867497743,6.757756288096536
5.0,8,1,0,0,7,0.13034933805465698,0.0623911339789629,0.050567148043746624,0.49856881374052836,0.0
5.0,9,1,1,7,15,0.19066153466701508,0.18004097044467926,0.14592070741149946,-0.29185770780508397,0.0
5.0,10,1,2,15,23,0.301019549369812,0.2447684481739998,0.19838142963431535,0.49410704851583903,0.0
5.0,11,1,3,23,31,0.24087831377983093,0.29600607231259346,0.2399088127733961,0.47555789790672126,0.0
5.0,12,1,4,31,39,0.09911248832941055,0.3300708532333374,0.2675178448592349,-0.17467132702489047,0.0
5.0,13,1,5,39,47,0.13862869143486023,0.5933019518852234,0.4808629964273432,0.24544892059338744,0.0
5.0,14,1,6,47,55,0.23490723967552185,1.1347513645887375,0.9197002296087456,0.15195477609077135,0.0
5.0,15,1,7,55,63,5.764915466308594,7.221397161483765,5.8528421597621225,6.055847748915246,5.885104546180587
5.0,16,2,0,0,7,0.16750751435756683,0.09111183695495129,0.07384487913606777,0.10955322572262889,0.0
5.0,17,2,1,7,15,0.26470667123794556,0.1990114524960518,0.16129601978643474,0.0458882411861163,0.0
5.0,18,2,2,15,23,0.31372684240341187,0.26057276874780655,0.21119061208091083,0.13650498819993,0.0
5.0,19,2,3,23,31,0.3154943585395813,0.33282946795225143,0.26975366379681054,0.14978137400497168,0.0
5.0,20,2,4,31,39,0.20658943057060242,0.4466423764824867,0.3619974463329373,0.3020976374260683,0.0
5.0,21,2,5,39,47,0.3018396496772766,0.4824778437614441,0.3910415951333563,0.46952922663638075,0.0
5.0,22,2,6,47,55,0.5197426080703735,0.6404013931751251,0.5190364398093351,-0.12219018234172117,0.0
5.0,23,2,7,55,63,4.888002395629883,7.829697132110596,6.345860842193273,6.277211980404766,6.105338333057248
5.0,24,3,0,0,7,0.0,0.0,0.0,0.04960109201659935,0.0
5.0,25,3,1,7,15,0.0,0.0,0.0,-0.398532766472176,0.0
5.0,26,3,2,15,23,0.0,0.0,0.0,0.33191989282138107,0.0
5.0,27,3,3,23,31,0.0,0.0,0.0,-0.017900137320228205,0.0
5.0,28,3,4,31,39,0.0,0.0,0.0,-0.08158041658906247,0.0
5.0,29,3,5,39,47,0.0,0.0,0.0,0.05353425222307455,0.0
5.0,30,3,6,47,55,0.0,0.0,0.0,-0.3158208955010258,0.0
5.0,31,3,7,55,63,3.9342222213745117,5.488186478614807,4.448098959851868,3.7634684319681266,3.6068351845272546
8.0,0,0,0,0,7,-0.030292775481939316,-0.14702200889587402,-0.10451623145564926,-0.08235470607896977,0.0
8.0,1,0,1,7,15,-0.06149372085928917,0.09844593703746796,0.06998406849795825,0.20766652092867174,0.0
8.0,2,0,2,15,23,-0.023117627948522568,0.20381145179271698,0.14488718409477067,0.24768964383088476,0.0
8.0,3,0,3,23,31,-0.04743611440062523,0.3216805160045624,0.22867892717556965,0.11389939905949739,0.0
8.0,4,0,4,31,39,-0.23489421606063843,0.3563033938407898,0.2532919272343205,-0.2775872671480763,0.0
8.0,5,0,5,39,47,-0.414936900138855,0.756140947341919,0.5375317808468589,-0.28782051108507584,0.0
8.0,6,0,6,47,55,-0.16681069135665894,2.0320510864257812,1.4445614182091393,0.5747989396116904,0.0
8.0,7,0,7,55,63,8.290618896484375,12.597341537475586,8.95530318041799,9.72372924039814,9.83180979784371
8.0,8,1,0,0,7,0.245705246925354,0.09982581436634064,0.0709650071980069,0.7377858597645446,0.0
8.0,9,1,1,7,15,0.26093780994415283,0.2880655527114868,0.20478244181057587,-0.3905194493506919,0.0
8.0,10,1,2,15,23,0.32299530506134033,0.39162951707839966,0.27840485624719863,0.6977416566086161,0.0
8.0,11,1,3,23,31,0.2265419363975525,0.47360971570014954,0.3366836233398129,0.6732466734780673,0.0
8.0,12,1,4,31,39,0.17641136050224304,0.5281133651733398,0.37542963209250246,-0.41131288691240575,0.0
8.0,13,1,5,39,47,0.23408867418766022,0.9492831230163574,0.6748343009813378,0.38841946391384846,0.0
